"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 26 14:23:05 CST 2024","Sun May 26 14:23:18 CST 2024","12767","testcases","test_case_01","","","","test_addcheck",""
"skipped","Sun May 26 14:23:03 CST 2024","Sun May 26 14:23:03 CST 2024","0","testcases","test_case_01","","","","test_addspotcheck",""
